491
334	316	3
78	335	1
0	336	1
336	332	5
0	337	5
119	298	2
0	119	2
0	338	1
339	298	4
0	119	1
78	339	1
78	340	1
314	341	1
342	341	1
314	342	2
78	334	1
315	316	3
78	299	2
343	305	5
0	344	1
344	345	4
346	347	5
346	348	5
78	349	1
78	350	2
0	351	1
351	352	0
351	353	0
352	353	2
0	337	5
352	305	5
353	305	5
119	354	1
355	354	0
78	87	2
356	357	5
78	358	1
78	87	1
359	360	7
78	361	1
361	357	5
78	337	5
119	87	1
87	362	3
363	360	7
87	364	3
365	277	4
87	366	1
221	366	3
366	9	7
367	9	3
78	367	1
9	87	4
78	368	1
78	9	1
369	87	4
370	87	4
78	369	1
78	370	1
78	371	1
78	372	1
373	87	4
78	373	1
78	374	1
78	375	1
376	377	9
87	9	1
87	378	2
379	87	4
379	378	4
78	379	1
380	87	4
78	380	1
380	381	0
382	316	3
78	300	2
383	384	5
78	119	1
119	385	1
119	386	1
119	387	1
385	300	4
386	300	4
387	300	4
78	388	1
78	389	1
78	390	1
78	391	1
78	392	1
78	393	1
394	395	3
387	396	10
395	396	10
397	300	4
78	398	1
0	335	1
335	300	4
78	399	1
400	401	4
300	400	1
78	85	1
85	402	1
78	335	1
78	214	5
78	403	1
403	300	4
78	404	1
78	242	1
404	78	4
242	78	4
300	404	1
300	242	1
300	277	1
277	405	1
78	406	1
406	300	4
78	407	1
408	78	4
409	78	4
410	78	4
323	78	4
411	78	4
78	412	1
119	412	1
412	413	0
412	414	0
412	415	0
412	416	0
0	417	1
119	417	1
0	384	5
78	301	2
418	305	5
20	301	4
419	305	5
78	420	1
421	422	7
421	360	7
78	423	1
423	424	5
425	426	5
426	305	5
78	425	1
427	428	7
429	428	7
427	429	2
78	229	1
430	431	2
78	301	2
119	432	1
0	119	1
433	301	4
119	314	1
342	341	7
434	435	5
78	436	1
78	437	1
437	438	7
78	439	1
78	440	5
78	441	2
442	443	5
0	444	1
0	445	5
0	446	1
0	85	1
446	114	4
85	114	4
114	447	4
78	130	2
448	449	5
114	447	1
114	450	1
114	85	1
114	449	5
0	107	1
451	452	0
0	453	1
454	323	1
0	455	1
0	456	1
0	295	1
457	458	1
457	149	1
458	149	2
457	459	5
221	457	1
78	15	1
78	460	1
0	107	1
0	461	1
461	462	0
461	463	0
